x,y,z
2145,2335,1947
2148,2336,1951
2144,2337,1947
2145,2338,1950
2145,2340,1948
2146,2337,1943
2149,2335,1940
2151,2339,1946
2148,2335,1956
2147,2339,1950
2146,2338,1951
2145,2335,1946
2147,2345,1949
2145,2340,1943
2147,2340,1953
2145,2333,1951
2150,2342,1952
2146,2334,1956
2144,2335,1945
2146,2339,1953
2145,2339,1954
2146,2338,1947
2152,2334,1947
2149,2339,1953
2145,2335,1953
2146,2337,1956
2144,2339,1953
2146,2337,1955
2154,2338,1948
2144,2341,1946
2142,2342,1955
2148,2337,1955
2147,2336,1956
2146,2336,1952
2147,2337,1957
2154,2339,1951
2150,2341,1955
2143,2335,1955
2143,2341,1952
2147,2336,1958
2145,2336,1958
2145,2339,1954
2147,2346,1954
2150,2338,1954
2147,2342,1952
2143,2343,1953
2148,2341,1955
2147,2342,1950
2148,2341,1955
2146,2336,1959
2149,2336,1950
2152,2338,1954
2144,2339,1955
2147,2334,1954
2143,2339,1954
2143,2341,1947
2143,2338,1953
2146,2344,1956
2145,2342,1956
2147,2343,1952
2149,2335,1953
2142,2336,1951
2142,2342,1947
2151,2340,1948
2143,2339,1951
2145,2340,1955
2146,2333,1951
2146,2339,1948
2146,2342,1945
2141,2336,1948
2143,2344,1947
2146,2341,1953
2147,2342,1952
2146,2340,1953
2145,2339,1949
2147,2341,1948
2144,2337,1950
2142,2341,1951
2146,2341,1945
2143,2342,1945
2149,2336,1952
2146,2342,1943
2147,2337,1943
2149,2341,1943
2146,2339,1944
2142,2337,1948
2148,2339,1944
2143,2336,1946
2145,2335,1949
2145,2340,1946
2146,2341,1946
2148,2338,1945
2145,2339,1940
2144,2338,1947
2147,2331,1944
2147,2339,1945
2148,2336,1945
2149,2336,1941
2143,2340,1943
2148,2338,1941
2145,2339,1943
2143,2338,1940
2149,2338,1943
2152,2336,1937
