x,y,z
1502,2215,2153
1667,2072,2047
1611,1957,1906
1601,1939,1831
1643,1965,1879
1604,1959,1921
1640,1829,1940
1607,1910,1910
1546,2045,1910
1529,2049,1972
1637,1978,1945
1596,2046,1866
1590,2006,1978
1601,1966,1957
1542,2003,1959
1598,2027,1941
1511,2258,1983
1555,1980,2023
1508,2468,1934
1580,1697,2005
1627,2073,1992
1592,2130,2063
1634,2088,1991
1638,2102,1916
1593,2123,1948
1542,2133,2034
1601,2015,2042
1613,1938,1936
1644,1974,2000
1642,1933,2046
1605,1925,2011
1586,1998,2066
1577,2032,2108
1598,1980,2066
1561,1942,2092
1628,1935,2142
1694,1965,2052
1627,1922,2081
1598,1950,2117
1612,1952,2075
1630,1958,2024
1609,1973,2005
1600,1983,2014
1608,1969,2024
1612,1957,2019
1605,1943,2018
1640,1917,2037
1610,1949,2077
1633,1930,2076
1573,1868,2058
1568,1944,1959
1576,2217,2059
1599,2045,2154
1620,1981,2168
1654,2069,2090
1637,2019,2160
1603,1992,2108
1605,2008,2075
1620,2001,2037
1616,2016,2052
1611,2019,2149
1597,1999,2130
1587,1999,2051
1566,1953,1993
1497,1966,2005
1455,2072,2105
1499,2090,2172
1556,2029,2085
1567,1963,2087
1568,1999,2134
1533,2049,2034
1519,2005,2062
1586,2089,2034
1618,2045,2002
1630,1974,2067
1646,2030,2129
1638,2077,2075
1595,2105,2094
1625,2117,2124
1645,2049,2086
1673,2067,2192
1607,2099,2073
1609,2099,2060
1613,2173,2108
1670,2147,2079
1663,2014,2171
1635,2120,2209
1649,2123,2034
1726,2203,2005
1778,2143,1946
1718,2102,2012
1724,2101,2309
1630,2359,1947
1664,2241,2064
1706,2277,1986
1691,2206,1994
1682,2172,2019
1690,2203,1986
1735,2343,2002
1665,2225,1897
1643,2243,1976
1624,2231,1969
1641,2254,1993
1681,2243,1949
